an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,Évaluation imposable uniformisée agricole - agglomération,Évaluation imposable uniformisée autre,Évaluation imposable uniformisée autre - agglomération,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables - agglomération,Richesse foncière uniformisée (RFU) - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables - agglomération,RFU par unité d'évaluation imposable et compensable - agglomération,Nombre d'unité d'évaluation imposable et compensable - agglomération,Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée résidentielle - agglomération,Évaluation imposable uniformisée industrielle et commerciale - agglomération
2023,2023,AG010,Îles-de-la-Madeleine,AG,13189,10 000 @ 24 999,Agglo,Agglo,11,Gaspésie-Îles-de-la-Madeleine,19751700.0,,52813600.0,0.8254,0.1226,0.0142,1517010634.0,0.0379,136766.0,11092.0,1394300500.0,1150815600.0,170919600.0
2023,2023,AG230,Québec,AG,593056,100 000 et plus,Agglo,Agglo,3,Capitale-Nationale,308069015.0,,1353144719.8,0.7923,0.1888,0.0035,97063507067.118,0.0154,521054.0,186283.0,87980334227.18,69705746589.27,16613373903.11
2023,2023,AG410,Cookshire-Eaton,AG,6273,2 000 @ 9 999,Agglo,Agglo,5,Estrie,279188341.0,,24976997.0,0.5297,0.1431,0.3003,940267176.0,0.0269,262644.0,3580.0,929555217.0,492402775.0,132987104.0
2023,2023,AG582,Longueuil,AG,437683,100 000 et plus,Agglo,Agglo,16,Montérégie,221475403.0,,1370389011.0,0.8396,0.1429,0.0024,93773242600.78,0.015,659479.0,142193.0,91081757398.0,76476638915.0,13013254069.0
2023,2023,AG660,Montréal,AG,2048125,100 000 et plus,Agglo,Agglo,6,Montréal,34725500.0,,4866833912.0,0.82,0.1693,0.0001,490886093313.92,0.0106,993387.0,494154.0,458752589578.0,376162727891.0,77688302275.0
2023,2023,AG770,Sainte-Marguerite-Estérel,AG,3777,2 000 @ 9 999,Agglo,Agglo,15,Laurentides,1622478.0,,131638020.0,0.8268,0.0855,0.0011,1522462311.84,0.0866,260696.0,5840.0,1519831558.0,1256649289.0,129921771.0
2023,2023,AG780,Sainte-Agathe-des-Monts,AG,11903,10 000 @ 24 999,Agglo,Agglo,15,Laurentides,759771.0,,170861145.0,0.8009,0.1362,0.0003,2847301711.2,0.0626,311249.0,9148.0,2730945384.0,2187315519.0,372008949.0
2023,2023,AG781,Mont-Tremblant,AG,11181,10 000 @ 24 999,Agglo,Agglo,15,Laurentides,30510200.0,,648327600.0,0.6446,0.2522,0.0046,6613845632.0,0.0986,496386.0,13324.0,6576856900.0,4239296200.0,1658722900.0
2023,2023,AG790,Mont-Laurier,AG,15397,10 000 @ 24 999,Agglo,Agglo,15,Laurentides,47570784.0,,101581790.0,0.7122,0.2098,0.0249,2067006215.48,0.0532,251644.0,8214.0,1909988494.0,1360211624.0,400624296.0
2023,2023,AG791,Rivière-Rouge,AG,5818,2 000 @ 9 999,Agglo,Agglo,15,Laurentides,14252600.0,,89336400.0,0.8437,0.0592,0.0134,1158466922.0,0.0837,209374.0,5533.0,1066840100.0,900110300.0,63140800.0
2023,2023,AG900,La Tuque,AG,11741,10 000 @ 24 999,Agglo,Agglo,4,Mauricie,8329918.0,,33738899.0,0.7526,0.2182,0.0058,1546431894.04,0.0234,125685.0,12304.0,1439713965.0,1083507957.0,314137191.0
