an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,Richesse foncière uniformisée (RFU),Évaluation imposable uniformisée agricole - agglomération,Évaluation imposable uniformisée autre,Évaluation imposable uniformisée autre - agglomération,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables,Richesse foncière uniformisée (RFU) - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums),Évaluation moyenne uniformisée par logement,RFU par unité d'évaluation imposable et compensable,RFU par unité d'évaluation imposable et compensable - agglomération,Indice RFU par unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable - agglomération,Évaluation uniformisée des immeubles imposables,Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée résidentielle,Évaluation imposable uniformisée résidentielle - agglomération,Évaluation imposable uniformisée industrielle et commerciale,Évaluation imposable uniformisée industrielle et commerciale - agglomération,Évaluation imposable uniformisée agricole
2023,2023,01023,Les Îles-de-la-Madeleine,M,12711,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie-Îles-de-la-Madeleine,,,1472573152.0,,51603700.0,,0.83,,0.1173,,0.0146,,0.0381,,,191581.0,165213.0,139567.0,,33.0,10551.0,,1353140200.0,,1123103800.0,,158681000.0,,19751700.0
2023,2023,01042,Grosse-Île,M,478,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie-Îles-de-la-Madeleine,,,44437482.0,,1209900.0,,0.6733,,0.2973,,,,0.0294,,,120224.0,112431.0,82140.0,,47.0,541.0,,41160300.0,,27711800.0,,12238600.0,,
2023,2023,02005,Percé,V,3103,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie-Îles-de-la-Madeleine,,,383896399.5,,24667124.0,,0.744,,0.1664,,0.0204,,0.0691,,,154135.0,139580.0,113916.0,,41.0,3370.0,,356916099.0,,265555457.0,,59407995.0,,7285523.0
2023,2023,02010,Sainte-Thérèse-de-Gaspé,M,1023,1 @ 1 999,AR020,Le Rocher-Percé,11,Gaspésie-Îles-de-la-Madeleine,,,81776366.08,,1817728.0,,0.7855,,0.1865,,0.0054,,0.0226,,,139460.0,122371.0,116491.0,,67.0,702.0,,80283136.0,,63059328.0,,14975744.0,,430336.0
2023,2023,02015,Grande-Rivière,V,3427,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie-Îles-de-la-Madeleine,,,300285295.2,,5264730.0,,0.8216,,0.1566,,0.0021,,0.0197,,,160882.0,126292.0,149321.0,,54.0,2011.0,,267530310.0,,219792690.0,,41897790.0,,575100.0
2023,2023,02028,Chandler,V,7405,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie-Îles-de-la-Madeleine,,,690233631.84,,15726410.0,,0.8222,,0.1501,,0.0021,,0.0257,,,163642.0,131459.0,151533.0,,55.0,4555.0,,612929342.0,,503955404.0,,91990196.0,,1257332.0
2023,2023,02047,Port-Daniel-Gascons,M,2281,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie-Îles-de-la-Madeleine,,,397623218.0,,12755500.0,,0.3704,,0.5876,,0.0094,,0.0326,,,125338.0,112774.0,174091.0,,63.0,2284.0,,391234400.0,,144899100.0,,229892400.0,,3687400.0
2023,2023,03005,Gaspé,V,15260,10 000 @ 24 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,1829554583.48,,75346304.0,,0.8106,,0.1376,,0.0044,,0.0474,,,207108.0,167598.0,177782.0,,43.0,10291.0,,1590658939.0,,1289426356.0,,218914131.0,,6972148.0
2023,2023,03010,Cloridorme,CT,647,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,43809696.0,,2151600.0,,0.8477,,0.0985,,0.0026,,0.0511,,,91397.0,86628.0,51420.0,,30.0,852.0,,42090720.0,,35682120.0,,4147200.0,,109800.0
2023,2023,03015,Petite-Vallée,M,161,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie-Îles-de-la-Madeleine,,,20844802.0,,1457816.0,,0.8271,,0.0882,,0.0146,,0.0701,,,161847.0,136969.0,75252.0,,43.0,277.0,,20808595.0,,17210543.0,,1835680.0,,304556.0
