an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,Richesse foncière uniformisée (RFU),Évaluation imposable uniformisée autre,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums),Évaluation moyenne uniformisée par logement,RFU par unité d'évaluation imposable et compensable,Indice RFU par unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable,Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée résidentielle,Évaluation imposable uniformisée industrielle et commerciale,Évaluation imposable uniformisée agricole
2023,2023,20005,Saint-François-de-l'Île-d'Orléans,M,573,1 @ 1 999,AR200,L'Île-d'Orléans,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,160198476.03,8688874.0,0.6959,0.0548,0.1951,0.0542,348836.0,311206.0,269241.0,155.0,595.0,160378622.0,111613890.0,8780853.0,31295005.0
2023,2023,20010,Sainte-Famille-de-l'Île-d'Orléans,M,921,1 @ 1 999,AR200,L'Île-d'Orléans,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,171993465.28,1237544.0,0.5619,0.0384,0.3925,0.0072,332281.0,297211.0,340581.0,196.0,505.0,171995292.0,96636624.0,6606964.0,67514160.0
2023,2023,20015,Saint-Jean-de-l'Île-d'Orléans,M,1196,1 @ 1 999,AR200,L'Île-d'Orléans,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,302575047.84,10926552.0,0.7395,0.0329,0.1915,0.0361,384738.0,315183.0,330322.0,190.0,916.0,302682848.0,223840968.0,9951240.0,57964088.0
2023,2023,20020,Saint-Laurent-de-l'Île-d'Orléans,M,1780,1 @ 1 999,AR200,L'Île-d'Orléans,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,369179395.54,10285436.0,0.7869,0.0407,0.1444,0.028,388688.0,343665.0,364802.0,210.0,1012.0,367102074.0,288858384.0,14950222.0,53008032.0
2023,2023,20025,Saint-Pierre-de-l'Île-d'Orléans,M,2009,2 000 @ 9 999,AR200,L'Île-d'Orléans,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,308054944.32,2707770.0,0.7569,0.0696,0.1644,0.009,355141.0,293631.0,367169.0,134.0,839.0,299617586.0,226789544.0,20859528.0,49260744.0
2023,2023,20030,Sainte-Pétronille,VL,1047,1 @ 1 999,AR200,L'Île-d'Orléans,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,231033106.5,7598230.0,0.9024,0.0308,0.0339,0.0329,437654.0,396624.0,383776.0,221.0,602.0,231054165.0,208511369.0,7112420.0,7832146.0
2023,2023,21005,Saint-Tite-des-Caps,M,1488,1 @ 1 999,AR210,La Côte-de-Beaupré,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,226485858.54,21891198.0,0.773,0.0768,0.0524,0.0978,216590.0,177669.0,167519.0,96.0,1352.0,223825950.0,173016921.0,17188017.0,11729814.0
2023,2023,21010,Saint-Ferréol-les-Neiges,M,3646,2 000 @ 9 999,AR210,La Côte-de-Beaupré,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,1020709469.34,64426329.0,0.8693,0.0578,0.0097,0.0632,343700.0,313265.0,268396.0,98.0,3803.0,1018707327.0,885588759.0,58854213.0,9838026.0
2023,2023,21020,Saint-Joachim,P,1430,1 @ 1 999,AR210,La Côte-de-Beaupré,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,188923450.0,8710300.0,0.8201,0.0375,0.094,0.0483,242917.0,215787.0,218156.0,125.0,866.0,180294200.0,147867700.0,6762700.0,16953500.0
2023,2023,21025,Beaupré,V,3935,2 000 @ 9 999,AR210,La Côte-de-Beaupré,3,Capitale-Nationale,CM235,Communauté métropolitaine de Québec,874071332.2,33492140.0,0.8204,0.1383,0.0004,0.0409,268668.0,229936.0,267956.0,97.0,3262.0,818728790.0,671653840.0,113265350.0,317460.0
